_id,city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,weather_main,wind_deg,wind_speed
220fd66717c96721cf0f55eef7b7bf86,ho chi minh city,40,3516.85,2025-01-07,137.0,101,Stationary traffic,307.32,10,8,66,6,10.7626,370.6194568111,106.6602,3,15,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
7f111efc2c6c3ab4be211144a21d8bc7,ha noi,100,2651.05,2025-01-07,232.0,101,Stationary traffic,294.73,10,8,51,6,21.0285,290.4817591648,105.8048,3,28,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
6461e019070522a1c82c190c6c13666e,ho chi minh city,40,3479.85,2025-01-07,309.0,101,Stationary traffic,307.55,10,8,67,6,10.7626,169.9739047185,106.6602,3,47,74.0,115.44,113.22,High,1008,95.83,303.18,4,8.0,10000,scattered clouds,Clouds,160,4.12
678ed2cfe1c25d4dd42aaee251d06d0b,ho chi minh city,40,3516.85,2025-01-07,174.0,115,Slow traffic,305.35,10,8,68,6,10.7626,897.0129293877,106.6602,1,54,42.0,155.03,153.365,High,1008,93.425,302.07,5,8.0,10000,scattered clouds,Clouds,160,4.12
94a63c26f101e5e0b0cb68b60d954a79,da nang,20,1050.8,2025-01-07,154.0,101,Stationary traffic,298.4,10,8,65,6,16.0454,244.4172865721,108.2096,3,22,101.0,117.66,115.07,Low,1013,18.685,298.15,4,4.0,10000,few clouds,Clouds,90,3.6
96fc71ff77c22cba0eb49454ac42ad57,da nang,20,1050.8,2025-01-07,274.0,101,Stationary traffic,297.41,10,8,69,6,16.0454,190.3348742066,108.2096,3,54,101.0,117.66,115.07,Low,1013,18.685,297.15,4,4.0,10000,few clouds,Clouds,90,3.09
d4779fc46a48fd43fc7abea6c1dcab49,da nang,20,1050.8,2025-01-07,162.0,108,Queuing traffic,297.4,10,8,69,6,16.0471,697.7438633121,108.2062,2,50,101.0,117.66,115.07,Low,1014,18.685,297.14,4,4.0,10000,few clouds,Clouds,90,3.09
5289044635d080bca9bb2d1150fef146,ha noi,100,2651.05,2025-01-07,156.0,101,Stationary traffic,294.8,10,8,54,6,21.0285,228.0796900619,105.8048,3,41,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,121,2.58
380de35f388ed2aa8a8b394cbc840b6e,ho chi minh city,40,3516.85,2025-01-07,151.0,101,Stationary traffic,307.32,10,8,66,6,10.7626,285.3445689333,106.6602,3,31,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
ba1acae62c1e97da9b69d355cda43d4c,ho chi minh city,40,3516.85,2025-01-07,180.0,115,Slow traffic,306.52,10,8,68,6,10.7626,1409.6527002731,106.6602,1,46,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
9597384966a996b96cab1873cb2f0668,da nang,20,1050.8,2025-01-07,282.0,101,Stationary traffic,297.41,10,8,69,6,16.0454,438.7227765728,108.2096,3,53,101.0,117.66,115.07,Low,1013,18.685,297.15,4,4.0,10000,few clouds,Clouds,90,3.09
d1ce99dd21e02d4d9fbc6377097bfa35,ha noi,100,2741.7,2025-01-07,305.0,108,Queuing traffic,294.78,10,8,53,6,21.0285,1146.1292601688,105.8048,2,53,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
94a63c26f101e5e0b0cb68b60d954a79,da nang,20,1050.8,2025-01-07,154.0,101,Stationary traffic,298.4,10,8,65,6,16.0454,244.4172865721,108.2096,3,22,101.0,117.66,115.07,Low,1013,18.685,298.15,4,4.0,10000,few clouds,Clouds,90,3.6
9f1234e3f2cb0ec971c78635c08d5e50,ho chi minh city,40,3516.85,2025-01-07,240.0,108,Queuing traffic,306.31,10,8,67,6,10.7626,937.7994954603,106.6602,2,34,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
83d9525489cd4ee88c579831f7b3f9ab,ho chi minh city,40,3516.85,2025-01-07,155.0,108,Queuing traffic,307.32,10,8,66,6,10.7626,793.6250914412,106.6602,2,25,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
f238376ec5e3b05f1074125e64e3aace,ho chi minh city,40,3516.85,2025-01-07,108.0,108,Queuing traffic,307.57,10,8,62,6,10.76,325.3249105786,106.66,2,8,42.0,155.03,153.365,High,1008,93.425,303.72,5,8.0,9000,scattered clouds,Clouds,0,1.03
5c6a544bb3330234ba1f8823cec4019e,ha noi,100,2741.7,2025-01-07,226.0,115,Slow traffic,294.78,10,8,53,6,21.0285,659.5855223437,105.8048,1,52,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
